Date,Referrer,Count,Uniques
2026-08-20 05:14:37,developer.payments.jpmorgan.com,80,20
2026-08-20 05:14:37,github.com,54,22
2026-08-20 05:14:37,Google,17,6
2026-08-20 05:14:37,payments-developer-portal.prod.aws.jpmchase.net,2,2
2026-08-20 06:09:06,developer.payments.jpmorgan.com,80,20
2026-08-20 06:09:06,github.com,54,22
2026-08-20 06:09:06,Google,17,6
2026-08-20 06:09:06,payments-developer-portal.prod.aws.jpmchase.net,2,2
2026-08-21 06:09:11,github.com,42,18
2026-08-21 06:09:11,developer.payments.jpmorgan.com,8,7
2026-08-21 06:09:11,Google,5,4
2026-08-21 06:09:11,payments-developer-portal.prod.aws.jpmchase.net,2,2
2026-08-22 06:06:59,github.com,63,18
2026-08-22 06:06:59,Google,9,7
2026-08-22 06:06:59,developer.payments.jpmorgan.com,6,5
2026-08-22 06:06:59,DuckDuckGo,1,1
2026-08-22 06:06:59,chatgpt.com,1,1
2026-08-22 06:06:59,payments-developer-portal.prod.aws.jpmchase.net,1,1
2026-08-23 06:07:51,github.com,69,18
2026-08-23 06:07:51,Google,8,7
2026-08-23 06:07:51,developer.payments.jpmorgan.com,4,3
2026-08-23 06:07:51,DuckDuckGo,1,1
2026-08-23 06:07:51,chatgpt.com,1,1
2026-08-24 06:13:06,github.com,69,18
2026-08-24 06:13:06,developer.payments.jpmorgan.com,11,4
2026-08-24 06:13:06,Google,7,6
2026-08-24 06:13:06,DuckDuckGo,1,1
2026-08-24 06:13:06,chatgpt.com,1,1
2026-08-25 06:08:42,github.com,69,18
2026-08-25 06:08:42,developer.payments.jpmorgan.com,11,4
2026-08-25 06:08:42,Google,6,5
2026-08-25 06:08:42,DuckDuckGo,1,1
2026-08-25 06:08:42,chatgpt.com,1,1
2026-08-26 06:09:56,github.com,88,21
2026-08-26 06:09:56,developer.payments.jpmorgan.com,12,4
2026-08-26 06:09:56,Google,4,3
2026-08-26 06:09:56,DuckDuckGo,1,1
2026-08-26 06:09:56,chatgpt.com,1,1
2026-08-27 09:03:54,github.com,102,23
2026-08-27 09:03:54,developer.payments.jpmorgan.com,16,5
2026-08-27 09:03:54,Google,7,4
2026-08-27 09:03:54,DuckDuckGo,1,1
2026-08-27 09:03:54,chatgpt.com,1,1
